INDIV_ID,ANNOT_ID,CAMID,DATETIME,IMAGE_ID,SEQUENCE_UUID,FILEPATH
6,47632,M1,2020-03-19 06:41:00,M1_20_03_23_STC_1798_100STLTH,4815b72c-1225-4c72-933b-cfc92407f4a8,GGR_Cams 2_Main/M1/20_03_23/DCIM/100STLTH/STC_1798.JPG
6,47674,M2,2020-03-19 08:25:00,M2_20_03_26_STC_5221_100STLTH,208411cc-62ce-43fc-94ee-e705a8d7fb68,GGR_Cams 2_Main/M2/20_03_26/DCIM/100STLTH/STC_5221.JPG
6,47689,M6,2020-03-22 18:05:00,M6_20_03_23_STC_2587_100STLTH,8c9dba04-8228-41be-9975-81792478982f,GGR_Cams 2_Main/M6/20_03_23/DCIM/100STLTH/STC_2587.JPG
7,47610,G14,2020-03-30 17:50:00,G14_20_04_07_STC_0298_100STLTH,ccf4b4f9-1899-4bd3-8291-9d76c07a55dc,GGR_Cams 2_Main/G14/20_04_07/DCIM/100STLTH/STC_0298.JPG
7,48268,M1,2020-03-26 07:12:00,M1_20_03_26_STC_3592_100STLTH,9b82dd20-29ab-46f6-8b6f-a7ca84271f3b,GGR_Cams 2_Main/M1/20_03_26/DCIM/100STLTH/STC_3592.JPG
7,48269,M1,2020-03-26 07:19:00,M1_20_03_26_STC_3626_100STLTH,edb3e395-5bdc-4339-a754-ae715f632897,GGR_Cams 2_Main/M1/20_03_26/DCIM/100STLTH/STC_3626.JPG
7,48271,M1,2020-03-26 13:11:00,M1_20_03_30_STC_0146_100STLTH,f30dc13e-588e-4fc2-bd32-472c4620c1ee,GGR_Cams 2_Main/M1/20_03_30/DCIM/100STLTH/STC_0146.JPG
7,48272,M1,2020-03-26 13:21:00,M1_20_03_30_STC_0178_100STLTH,65d8b69d-32bd-4deb-ac7e-fa3663bfd9de,GGR_Cams 2_Main/M1/20_03_30/DCIM/100STLTH/STC_0178.JPG
7,48274,M1,2020-03-27 09:28:00,M1_20_03_30_STC_0479_100STLTH,317ecf23-ccf4-47c8-82eb-53203b920a20,GGR_Cams 2_Main/M1/20_03_30/DCIM/100STLTH/STC_0479.JPG
7,47814,M1,2020-04-19 12:56:00,M1_20_04_20_STC_3693_100STLTH,7e20c53c-108c-4969-8671-29375f0d1380,GGR_Cams 3_Main/M1/20_04_20/DCIM/100STLTH/STC_3693.JPG
7,48687,M1,2020-04-20 15:11:00,M1_20_04_27_STC_0033_100STLTH,86d28aca-8213-457d-9e37-a8699609ac33,GGR_Cams 3_Main/M1/20_04_27/DCIM/100STLTH/STC_0033.JPG
7,47816,M1,2020-04-20 17:59:00,M1_20_04_27_STC_0158_100STLTH,e02ca369-0705-4134-a55d-b5d4026d3346,GGR_Cams 3_Main/M1/20_04_27/DCIM/100STLTH/STC_0158.JPG
